year,species,bb_doy,l75_doy,fbb_doy,fopn_doy,sd_bb_doy,sd_l75_doy,sd_fbb_doy,sd_fopn_doy
1990,ACPE,125,148,142,143,3.678187827,6.617517743,8.020806277,8.287904467
1991,ACPE,119,148,126,130,5.356460765,7.23120881,4.38178046,6.195647989
1992,ACPE,136,163,138,139,6.412600341,2.133051427,10.60660172,NA
1993,ACPE,120,146,130,130,5.060213974,2.273540293,13.51234004,9.107367912
1994,ACPE,127,148,133,139,NA,NA,NA,NA
1995,ACPE,127,147,137,139,7.647847226,4.07682592,NA,NA
1996,ACPE,131,149,140,141,6.51468449,4.347030959,NA,NA
1997,ACPE,133,152,143,145,3.974141167,1.669347086,NA,NA
1998,ACPE,118,137,125,126,2.704190053,2.079172127,6.645800679,5.307216
1999,ACPE,125,143,144,144,2.965774389,3.147941328,NA,NA
2000,ACPE,127,149,129,132,9.966705772,0,NA,NA
2001,ACPE,124,143,124,128,3.067925207,3.150500294,NA,NA
2002,ACPE,121,147,130,133,3.9153116,3.18114706,NA,NA
2003,ACPE,132,153,133,138,0.491974171,2.174977525,NA,NA
2004,ACPE,125,140,128,130,2.270418089,0,7.778174593,4.915802638
2005,ACPE,131,156,132,133,1.010448852,0.179891696,3.535533906,0.759860746
2006,ACPE,126,150,129,132,2.313565236,0.984260113,2.598076211,3.360115805
2007,ACPE,129,147,130,133,NA,NA,NA,NA
2008,ACPE,128,149,132,133,NA,NA,NA,NA
2009,ACPE,121,143,124,127,0.95980326,0.907420527,NA,NA
2010,ACPE,114,135,114,119,2.856610791,NA,NA,NA
2011,ACPE,128,149,132,135,0.096605411,4.612240179,NA,NA
2012,ACPE,112,140,118,120,2.726434808,0.84743963,NA,NA
2013,ACPE,127,145,129,132,4.862500312,1.237106154,NA,NA
2014,ACPE,133,150,134,136,2.317353679,6.615536579,0,NA
2015,ACPE,128,149,129,130,0.748528332,0,NA,NA
2016,ACPE,131,152,133,135,3.331622226,1.889330468,0,2.743715309
2017,ACPE,123,149,128,129,0,2.785646951,2.474873734,3.366771422
2018,ACPE,128,148,131,132,2.895958659,0.984260113,NA,NA
2019,ACPE,130,151,135,136,1.106234984,3.631323668,13.51773526,4.958959473
2020,ACPE,136,153,142,145,1.737255101,1.550391795,NA,NA
2021,ACPE,124,148,128,131,2.384659158,2.019021953,NA,NA
2022,ACPE,130,146,132,134,0.046480232,0.937444687,2.828427125,2.305844316
1990,ACRU,123,149,100,109,6.306959513,3.44114929,1.565247584,3.083396074
1991,ACRU,121,148,98,98,0.29890356,4.71927495,NA,NA
1992,ACRU,134,165,117,120,4.877217932,9.330044776,7.005949852,3.757480759
1993,ACRU,120,148,107,110,0.820701491,8.404592034,6.01040764,NA
1994,ACRU,129,147,107,113,9.631123916,2.634949293,5.346338311,2.020714396
1995,ACRU,130,148,110,117,6.193475151,1.41591493,NA,NA
1996,ACRU,123,147,106,113,0.046475235,9.890265734,4.9560569,3.24996875
1997,ACRU,133,152,110,112,5.600671208,3.87902206,4.460474564,2.657429721
1998,ACRU,118,137,93,96,4.579850954,1.082791203,NA,NA
1999,ACRU,126,144,98,105,0,9.519916636,2.309401077,1.544759806
2000,ACRU,129,152,93,97,6.92343275,5.51188357,NA,NA
2001,ACRU,123,140,110,114,3.740761851,4.312505814,NA,NA
2002,ACRU,125,147,100,104,6.562863975,5.679276433,NA,NA
2003,ACRU,132,153,108,111,1.941846511,7.430335723,NA,NA
2004,ACRU,126,141,106,110,0.947178428,6.694468728,5,4.499664681
2005,ACRU,128,156,101,107,3.275834494,7.005940158,4.272001873,7.891257498
2006,ACRU,128,150,95,105,5.5811113,5.829550105,2.886751346,2.637425569
2007,ACRU,129,145,112,113,12.77368887,2.764199969,4.949747468,7.07102185
2008,ACRU,126,149,108,111,2.340141344,7.352986925,12.02081528,11.1529505
2009,ACRU,123,144,105,112,12.88334173,6.350633567,NA,NA
2010,ACRU,113,134,94,96,1.75000875,3.269263972,NA,NA
2011,ACRU,128,149,108,112,3.659330159,1.12023717,12.84847591,7.761974459
2012,ACRU,115,141,82,83,0,6.062506031,NA,NA
2013,ACRU,125,143,106,111,8.102663045,4.984893866,NA,NA
2014,ACRU,135,152,111,115,2.779532383,3.453478818,2.121320344,1.253413141
2015,ACRU,129,148,111,114,7.622015718,4.557540791,8.838834765,4.753237976
2016,ACRU,132,150,90,99,4.366842911,1.73201328,2.020725942,3.605423694
2017,ACRU,127,151,104,105,32.1885205,10.32076135,12.02081528,4.176964281
2018,ACRU,128,148,112,119,5.686325411,3.197773311,NA,NA
2019,ACRU,131,152,107,109,3.238371268,2.463783318,5.484827557,2.344840867
2020,ACRU,136,153,97,102,1.154567747,2.278125048,0,4.753351113
2021,ACRU,129,150,95,99,0.088261013,7.698781874,NA,NA
2022,ACRU,132,149,98,107,2.309360662,15.81326924,3.570714214,2.020689859
1990,ACSA,122,143,112,125,3.550663494,7.702363325,4.107919181,3.774486794
1991,ACSA,114,134,114,114,5.076886615,6.10510219,NA,NA
1992,ACSA,129,159,130,136,8.671063759,3.752749325,NA,NA
1993,ACSA,118,132,134,134,10.64181481,2.886777327,2.828427125,1.326008621
1994,ACSA,123,140,121,122,4.149259412,6.171341602,0,0
1995,ACSA,127,140,126,126,2.670131329,0.157588544,NA,NA
1996,ACSA,121,141,119,125,1.4999075,13.98339576,0,8.13E-05
1997,ACSA,129,147,NA,NA,1.934436245,15.3288956,2.020725942,2.020764914
1998,ACSA,113,131,106,109,2.218173505,7.922003672,NA,NA
1999,ACSA,121,133,120,122,7.337428073,3.069350381,NA,NA
2000,ACSA,125,140,119,120,4.518763721,9.0390866,NA,NA
2001,ACSA,120,132,NA,NA,2.907989099,4.183716829,NA,NA
2002,ACSA,113,140,108,108,2.319011651,7.486159793,5.346338311,2.020854404
2003,ACSA,126,146,120,123,1.731943997,4.041392088,NA,NA
2004,ACSA,122,138,120,122,2.927866817,17.08229732,7.778174593,7.625247845
2005,ACSA,122,151,124,NA,4.33016599,9.63835445,0,1.856136297
2006,ACSA,120,147,114,115,5.566596816,6.278755986,6.062177826,1.010402664
2007,ACSA,126,141,122,123,0.959616159,12.99049797,NA,NA
2008,ACSA,117,139,116,116,3.690595708,14.22235322,5.303300859,5.224643675
2009,ACSA,118,136,115,NA,0.136425331,6.587388758,NA,NA
2010,ACSA,108,127,NA,NA,2.750183751,NA,NA,NA
2011,ACSA,123,137,118,120,0.122924057,2.593023029,16.97056275,16.9706476
2012,ACSA,110,137,106,NA,4.458378806,12.11712349,NA,NA
2013,ACSA,121,137,116,119,1.994324501,8.14969229,NA,NA
2014,ACSA,130,145,NA,NA,2.465916918,7.295514673,NA,NA
2015,ACSA,125,136,122,127,2.912554678,15.18111015,NA,NA
2016,ACSA,129,144,114,121,5.616381666,21.86839164,7.505553499,6.763439934
2017,ACSA,118,140,110,117,2.631057912,22.63395774,7.211102551,4.009457705
2018,ACSA,126,142,NA,NA,1.323122115,0,NA,NA
2019,ACSA,124,142,116,117,3.68660173,8.625496773,2.020725942,1.728985866
2020,ACSA,131,148,123,126,0.193387308,6.291304519,NA,NA
2021,ACSA,120,140,108,110,3.309971417,10.46315027,NA,NA
2022,ACSA,128,140,NA,NA,3.199694029,3.530205736,0,0.000268392
1990,AMSP,122,145,121,126,2.659505182,3.919066456,2.683281573,3.063874736
1991,AMSP,119,139,106,115,3.302697699,2.081907128,NA,NA
1992,AMSP,128,160,130,134,1.814782664,7.228862409,6.717514421,4.713887287
1993,AMSP,117,148,107,119,1.367979536,17.02220924,20.85965005,0.589263311
1994,AMSP,118,141,112,116,7.090018614,6.500289934,NA,NA
1995,AMSP,126,143,126,130,5.143973406,6.507534452,NA,NA
1996,AMSP,118,145,114,NA,1.473851394,4.062395312,NA,NA
1997,AMSP,125,149,134,134,3.103681916,0,NA,NA
1998,AMSP,111,132,124,125,1.241068665,0.144211271,NA,NA
1999,AMSP,121,140,114,121,2.193625511,4.792121053,7.071067812,7.542438156
2000,AMSP,125,142,129,129,3.066884123,22.08384482,NA,NA
2001,AMSP,121,136,122,125,3.071439508,4.920252041,NA,NA
2002,AMSP,112,NA,NA,NA,4.450640675,7.466177917,NA,NA
2003,AMSP,127,NA,123,125,0,2.742404397,NA,NA
2004,AMSP,120,NA,NA,NA,0.889641475,7.047700823,NA,NA
2005,AMSP,119,NA,NA,NA,4.769681593,0,NA,NA
2006,AMSP,123,NA,NA,NA,2.501786695,3.777771598,0,1.885506124
2007,AMSP,125,NA,NA,NA,1.75072278,2.886615668,NA,NA
2008,AMSP,118,NA,NA,NA,0.613624663,7.06588801,NA,NA
2009,AMSP,119,NA,NA,NA,3.033542733,3.784820402,NA,NA
2010,AMSP,103,NA,NA,NA,2.13611052,6.086819823,NA,NA
2011,AMSP,122,NA,NA,NA,6.935498288,0,16.61700936,12.28599226
2012,AMSP,114,NA,NA,NA,0.180830058,4.46379807,NA,NA
2013,AMSP,122,NA,NA,NA,3.153252528,5.003573391,NA,NA
2014,AMSP,130,NA,NA,NA,2.715386232,21.4847519,8.131727984,8.131807534
2015,AMSP,126,NA,NA,NA,0,0.124890624,NA,NA
2016,AMSP,128,NA,NA,NA,5.744481036,2.923335508,0,1.527674168
2017,AMSP,119,NA,NA,NA,0.045812973,11.36054862,10.10362971,4.15101323
2018,AMSP,127,NA,NA,NA,5.294817909,0,NA,NA
2019,AMSP,124,NA,NA,NA,1.682708475,0.124890624,0,2.133316425
2020,AMSP,130,NA,NA,NA,0.927073325,4.306021081,8.131727984,8.131719145
2021,AMSP,120,NA,NA,NA,8.6989258,4.449274152,NA,NA
2022,AMSP,129,NA,NA,NA,5.423281913,2.538260165,3.75,3.15400197
1990,ARSP,119,153,NA,NA,5.686207993,0.946602067,2.459674775,1.515704398
1991,ARSP,110,141,105,146,2.998345074,2.371275114,NA,NA
1992,ARSP,122,160,146,148,7.527258154,2.098453554,4.596194078,8.880340373
1993,ARSP,116,131,127,142,6.385457184,0,9.545941546,8.581862037
1994,ARSP,123,146,128,141,7.242947303,3.308643504,NA,NA
1995,ARSP,122,145,149,149,3.687915453,1.626637668,0,6.72E-05
1996,ARSP,115,148,111,149,3.699749743,1.865934242,0,2.00E-05
1997,ARSP,127,153,157,158,5.108646285,2.425481499,0,5.25005875
1998,ARSP,108,137,136,137,4.356527558,2.226986801,NA,NA
1999,ARSP,122,140,NA,NA,0.464995744,2.570070228,4.596194078,0.451854099
2000,ARSP,121,145,NA,NA,2.055796204,1.836245732,NA,NA
2001,ARSP,123,140,NA,NA,4.04378233,1.879642606,NA,NA
1990,BEAL,125,149,NA,NA,5.009226968,2.783102252,0,3.18180197
1991,BEAL,119,135,130,133,6.406253562,2.125742151,NA,NA
1992,BEAL,136,156,144,145,7.214766123,6.285443069,NA,NA
1993,BEAL,116,145,134,134,5.033433895,4.53515385,4.041451884,1.644142981
1994,BEAL,126,144,NA,NA,1.154821783,1.163588564,8.371578903,7.434352897
1995,BEAL,130,143,139,139,1.014423929,1.648411509,4.330127019,5.838688284
1996,BEAL,119,144,111,NA,0.590461959,2.020065732,7.424621202,4.242732611
1997,BEAL,135,150,134,NA,2.53103587,4.653694491,0,0
1998,BEAL,120,135,122,122,1.999867499,0,NA,NA
1999,BEAL,127,138,NA,NA,0.801148918,0,9.192388155,5.675384075
2000,BEAL,128,144,128,129,3.721925268,2.16351313,NA,NA
2001,BEAL,123,137,NA,NA,2.115739397,0.938094955,NA,NA
2002,BEAL,126,146,112,112,5.000803825,3.936662099,2.309401077,2.309427059
2003,BEAL,133,151,127,128,0.693480718,0.476956888,7.424621202,7.424633577
2004,BEAL,126,139,NA,NA,2.125260117,1.636609852,2.309401077,5.065461035
2005,BEAL,134,154,116,121,3.041475401,3.447170212,7.794228634,4.211813494
2006,BEAL,130,150,124,126,1.364825333,1.851742068,NA,NA
2007,BEAL,129,145,NA,NA,0.109066944,2.404479179,9.75,0.997863601
2008,BEAL,132,149,116,117,0.645848291,2.9946299,4.242640687,4.065785326
2009,BEAL,123,142,119,120,0.142384077,4.267108633,NA,NA
2010,BEAL,116,133,109,116,2.33930414,3.104792763,2.886751346,0.878077809
2011,BEAL,130,146,120,121,5.289657057,2.516446596,7.076369125,6.101907554
2012,BEAL,122,142,NA,NA,2.886788874,0.527128676,NA,NA
2013,BEAL,128,143,120,122,0.16018086,1.536673934,0,0
2014,BEAL,135,151,130,130,1.204972549,1.41413578,NA,NA
2015,BEAL,128,143,NA,NA,4.135760405,3.291676574,NA,NA
2016,BEAL,133,149,122,126,2.271754785,2.432527409,6.01040764,6.167440931
2017,BEAL,126,144,118,118,1.978108268,2.367037821,4.509249753,4.509244765
2018,BEAL,130,145,NA,NA,3.341074945,0.096187036,3.685557398,2.388932778
2019,BEAL,133,149,122,124,2.309666659,0.633684487,NA,NA
2020,BEAL,138,153,NA,NA,0.908778179,0,4.242640687,1.856111548
2021,BEAL,130,147,120,120,3.143810455,0.918572175,NA,NA
2022,BEAL,133,144,NA,NA,3.085516077,2.509474122,NA,NA
1990,BELE,124,152,NA,NA,4.73822994,2.021365495,3.535533906,2.121383983
1991,BELE,123,138,124,129,2.116899987,1.192987495,NA,NA
1992,BELE,137,150,144,145,2.692936204,7.562663031,5.303300859,4.47831702
1993,BELE,117,142,NA,NA,2.551494395,1.715328806,3.181980515,4.949729791
1994,BELE,131,145,134,135,2.06861017,5.984368251,2.598076211,1.924874411
1995,BELE,131,145,130,130,1.376456112,3.149045771,NA,NA
1996,BELE,120,147,119,NA,0.253587786,2.08160596,0,2.424398432
1997,BELE,133,151,138,144,2.181520892,2.788246237,NA,NA
1998,BELE,123,138,122,122,0,6.805738808,6.964194139,6.964136824
1999,BELE,127,141,NA,NA,0.589022894,0.176466451,NA,NA
2000,BELE,131,147,128,128,0.175492265,1.020580749,NA,NA
2001,BELE,124,141,NA,NA,4.030172218,4.441582482,NA,NA
2002,BELE,130,NA,112,113,2.05233787,1.492742528,5,5.679608458
2003,BELE,138,NA,130,135,2.922311322,2.111542894,0,2.121313272
2004,BELE,127,NA,NA,NA,4.916161791,0.144476854,2.886751346,5.188575982
2005,BELE,137,NA,150,NA,0,2.654369587,20.34903765,4.391194965
2006,BELE,134,NA,NA,NA,4.992786697,0.786863254,NA,NA
2007,BELE,129,NA,NA,NA,1.562505215,1.88489447,2.886751346,1.807209272
2008,BELE,133,NA,NA,NA,0,2.610022631,17.32411614,14.92794732
2009,BELE,125,NA,NA,NA,3.855659235,0.947711137,NA,NA
2010,BELE,122,NA,NA,NA,4.740639202,2.458441501,2,1.522592621
2011,BELE,132,NA,NA,NA,5.315564541,3.606726964,4.5,1.424854395
2012,BELE,125,NA,NA,NA,3.343186096,0.120256889,NA,NA
2013,BELE,129,NA,NA,NA,2.68867823,3.321956,NA,NA
2014,BELE,138,NA,NA,NA,0.092193043,1.028739444,NA,NA
2015,BELE,129,NA,NA,NA,6.215837977,2.774323935,NA,NA
2016,BELE,135,NA,NA,NA,5.629076914,0.144124668,NA,NA
2017,BELE,133,NA,NA,NA,2.064586145,0.682587499,8.838834765,NA
2018,BELE,130,NA,NA,NA,2.548165926,0.937574688,18.5876303,5.008224486
2019,BELE,137,NA,NA,NA,3.648711891,3.473411351,NA,NA
2020,BELE,138,NA,NA,NA,0.010868286,0.176515948,NA,NA
2021,BELE,135,NA,NA,NA,6.008583943,1.64412446,NA,NA
2022,BELE,134,NA,NA,NA,5.457478805,2.708313542,NA,NA
1990,BEPA,120,142,132,133,5.478528607,4.105797291,NA,NA
1991,BEPA,119,135,128,130,0.388777928,1.034002028,NA,NA
1992,BEPA,131,166,144,145,5.472396191,7.391509243,NA,NA
1993,BEPA,116,140,NA,NA,0,1.846515567,2.309401077,3.666540903
1994,BEPA,122,140,134,135,2.780088371,2.790894464,4.509249753,2.379128254
1995,BEPA,127,142,134,134,3.917236894,2.546357619,NA,NA
1996,BEPA,116,142,108,132,0.031801631,1.64412446,6.363961031,5.362208452
1997,BEPA,132,148,134,141,4.471713865,4.082830353,NA,NA
1998,BEPA,118,136,123,120,0.108918124,NA,NA,NA
1999,BEPA,124,139,125,NA,4.220642485,1.325556071,0,0.589379985
2000,BEPA,125,145,124,124,0.241493426,3.201787214,NA,NA
2001,BEPA,121,134,NA,NA,4.317256017,2.384733029,NA,NA
2002,BEPA,114,NA,109,110,4.498049579,2.119030421,2.886751346,NA
2003,BEPA,125,NA,122,126,1.326985829,1.995414555,NA,NA
2004,BEPA,121,NA,NA,NA,5.804408763,2.041723846,6.350852961,6.388055091
2005,BEPA,127,NA,NA,NA,0.636600036,0.905113775,3.75277675,2.659954408
2006,BEPA,126,NA,NA,NA,2.472966467,1.173850622,NA,NA
2007,BEPA,127,NA,NA,NA,2.292827376,1.713680137,2.309401077,1.071844783
2008,BEPA,124,NA,NA,NA,0.159001973,3.271415773,3.535533906,4.128226702
2009,BEPA,119,NA,NA,NA,0.436804185,5.664277924,NA,NA
2010,BEPA,110,NA,NA,NA,3.170745806,1.198661663,2.75,4.141019336
2011,BEPA,125,NA,NA,NA,4.254854405,1.529040701,2.738612788,2.204145579
2012,BEPA,116,NA,NA,NA,5.384495994,3.754748127,NA,NA
2013,BEPA,125,NA,NA,NA,4.82946059,2.299389055,5.656854249,1.864084217
2014,BEPA,133,NA,NA,NA,4.113904183,0,NA,NA
2015,BEPA,128,NA,NA,NA,5.686139728,2.928403542,NA,NA
